step,time_ns,xapp,adjusted_param,adjusted_value,c0_rbUtil,c0_dlThroughput,c0_AvgCqi,c0_SINR,c0_trafficLoad,c0_RSRP,c0_RSRQ,c0_ulSinr,c0_hoSuccessRate,c0_hoFailureRate,c0_hoAttempts,c1_rbUtil,c1_dlThroughput,c1_AvgCqi,c1_SINR,c1_trafficLoad,c1_RSRP,c1_RSRQ,c1_ulSinr,c1_hoSuccessRate,c1_hoFailureRate,c1_hoAttempts,c0_Param_TxPower,c0_Param_CIO,c1_Param_TxPower,c1_Param_CIO
14,32000000000,ES,c0_TxPower_delta,-1,0.203049,2.03049,3.85714,16,0.5,-87.3623,-5.59187,4.7471,1,0,0,0.203049,2.03049,3.85714,15.4,0.5,-87.3623,-5.59187,4.7471,1,0,0,46,2,46,3
15,34000000000,MLB,c1_CIO_delta,-1,0.202979,2.02979,3.85714,13.8915,0.408454,-88.3623,-6.04523,4.7471,1,0,0,0.293965,2.93965,4.71429,15.3085,0.591546,-87.3623,-5.18802,4.7471,1,0,0,45,2,46,3
16,36000000000,ES,c1_TxPower_delta,-1,0.203015,2.03015,3.85714,13.8916,0.408386,-88.3623,-6.04523,4.7471,1,0,0,0.2941,2.941,4.71429,15.3084,0.591614,-87.3623,-5.18802,4.7471,1,0,0,45,2,46,2
17,38000000000,MLB,c0_CIO_delta,1,0.203049,2.03049,3.85714,13.8,0.5,-88.3623,-5.59217,4.7471,1,0,0,0.203049,2.03049,3.85714,13.2,0.5,-88.3623,-5.59217,4.7471,1,0,0,45,2,45,2
18,40000000000,CCO,c1_TxPower_delta,2,0.203049,2.03049,3.85714,13.8,0.5,-88.3623,-5.59217,4.7471,1,0,0,0.203049,2.03049,3.85714,13.2,0.5,-88.3623,-5.59217,4.7471,1,0,0,45,3,45,2
19,42000000000,CCO,c0_TxPower_delta,2,0.203032,2.03032,3.85714,13.8917,0.408336,-88.3623,-6.04523,4.7471,1,0,0,0.294186,2.94186,4.71429,15.3083,0.591664,-87.3623,-5.18802,4.7471,1,0,0,45,3,46,2
20,44000000000,ES,c1_TxPower_delta,-1,0.203049,2.03049,3.85714,16,0.5,-87.3623,-5.59187,4.7471,1,0,0,0.203049,2.03049,3.85714,15.4,0.5,-87.3623,-5.59187,4.7471,1,0,0,46,3,46,2
21,46000000000,MLB,c0_CIO_delta,-1,0.293842,2.93842,4.71429,15.9085,0.591505,-87.3623,-5.18802,4.7471,1,0,0,0.202928,2.02928,3.85714,13.2915,0.408495,-88.3623,-6.04523,4.7471,1,0,0,46,3,45,2
22,48000000000,ES,c0_TxPower_delta,-1,0.293941,2.93941,4.71429,15.9085,0.591514,-87.3623,-5.18802,4.7471,1,0,0,0.202988,2.02988,3.85714,13.2915,0.408486,-88.3623,-6.04523,4.7471,1,0,0,46,2,45,2
23,50000000000,MLB,c1_CIO_delta,1,0.203049,2.03049,3.85714,13.8,0.5,-88.3623,-5.59217,4.7471,1,0,0,0.203049,2.03049,3.85714,13.2,0.5,-88.3623,-5.59217,4.7471,1,0,0,45,2,45,2
24,52000000000,CCO,c0_TxPower_delta,2,0.203049,2.03049,3.85714,13.8,0.5,-88.3623,-5.59217,4.7471,1,0,0,0.203049,2.03049,3.85714,13.2,0.5,-88.3623,-5.59217,4.7471,1,0,0,45,2,45,3
25,54000000000,CCO,c1_TxPower_delta,2,0.293991,2.93991,4.71429,15.9085,0.591536,-87.3623,-5.18802,4.7471,1,0,0,0.203005,2.03005,3.85714,13.2915,0.408464,-88.3623,-6.04523,4.7471,1,0,0,46,2,45,3
26,56000000000,ES,c0_TxPower_delta,-1,0.203049,2.03049,3.85714,16,0.5,-87.3623,-5.59187,4.7471,1,0,0,0.203049,2.03049,3.85714,15.4,0.5,-87.3623,-5.59187,4.7471,1,0,0,46,2,46,3
27,58000000000,MLB,c1_CIO_delta,-1,0.202948,2.02948,3.85714,13.8916,0.408399,-88.3623,-6.04523,4.7471,1,0,0,0.293988,2.93988,4.71429,15.3084,0.591601,-87.3623,-5.18802,4.7471,1,0,0,45,2,46,3
28,60000000000,ES,c1_TxPower_delta,-1,0.202905,2.02905,3.85714,13.8916,0.408396,-88.3623,-6.04523,4.7471,1,0,0,0.293928,2.93928,4.71429,15.3084,0.591604,-87.3623,-5.18802,4.7471,1,0,0,45,2,46,2
29,62000000000,MLB,c0_CIO_delta,1,0.203049,2.03049,3.85714,13.8,0.5,-88.3623,-5.59217,4.7471,1,0,0,0.203049,2.03049,3.85714,13.2,0.5,-88.3623,-5.59217,4.7471,1,0,0,45,2,45,2
30,64000000000,CCO,c1_TxPower_delta,2,0.203049,2.03049,3.85714,13.8,0.5,-88.3623,-5.59217,4.7471,1,0,0,0.203049,2.03049,3.85714,13.2,0.5,-88.3623,-5.59217,4.7471,1,0,0,45,3,45,2
31,66000000000,CCO,c0_TxPower_delta,2,0.203049,2.03049,3.85714,13.8916,0.408374,-88.3623,-6.04523,4.7471,1,0,0,0.294164,2.94164,4.71429,15.3084,0.591626,-87.3623,-5.18802,4.7471,1,0,0,45,3,46,2
32,68000000000,ES,c1_TxPower_delta,-1,0.203049,2.03049,3.85714,16,0.5,-87.3623,-5.59187,4.7471,1,0,0,0.203049,2.03049,3.85714,15.4,0.5,-87.3623,-5.59187,4.7471,1,0,0,46,3,46,2
33,70000000000,MLB,c0_CIO_delta,-1,0.2941,2.941,4.71429,15.9084,0.591614,-87.3623,-5.18802,4.7471,1,0,0,0.203015,2.03015,3.85714,13.2916,0.408386,-88.3623,-6.04523,4.7471,1,0,0,46,3,45,2
34,72000000000,ES,c0_TxPower_delta,-1,0.294162,2.94162,4.71429,15.9083,0.591736,-87.3623,-5.18802,4.7471,1,0,0,0.202955,2.02955,3.85714,13.2917,0.408264,-88.3623,-6.04523,4.7471,1,0,0,46,2,45,2
35,74000000000,MLB,c1_CIO_delta,1,0.203049,2.03049,3.85714,13.8,0.5,-88.3623,-5.59217,4.7471,1,0,0,0.203049,2.03049,3.85714,13.2,0.5,-88.3623,-5.59217,4.7471,1,0,0,45,2,45,2
36,76000000000,CCO,c0_TxPower_delta,2,0.203049,2.03049,3.85714,13.8,0.5,-88.3623,-5.59217,4.7471,1,0,0,0.203049,2.03049,3.85714,13.2,0.5,-88.3623,-5.59217,4.7471,1,0,0,45,2,45,3
37,78000000000,CCO,c1_TxPower_delta,2,0.294138,2.94138,4.71429,15.9083,0.591676,-87.3623,-5.18802,4.7471,1,0,0,0.202988,2.02988,3.85714,13.2917,0.408324,-88.3623,-6.04523,4.7471,1,0,0,46,2,45,3
38,80000000000,ES,c0_TxPower_delta,-1,0.203049,2.03049,3.85714,16,0.5,-87.3623,-5.59187,4.7471,1,0,0,0.203049,2.03049,3.85714,15.4,0.5,-87.3623,-5.59187,4.7471,1,0,0,46,2,46,3
39,82000000000,MLB,c1_CIO_delta,-1,0.202938,2.02938,3.85714,13.8915,0.408455,-88.3623,-6.04523,4.7471,1,0,0,0.293905,2.93905,4.71429,15.3085,0.591545,-87.3623,-5.18802,4.7471,1,0,0,45,2,46,3
40,84000000000,ES,c1_TxPower_delta,-1,0.202945,2.02945,3.85714,13.8917,0.408303,-88.3623,-6.04523,4.7471,1,0,0,0.2941,2.941,4.71429,15.3083,0.591697,-87.3623,-5.18802,4.7471,1,0,0,45,2,46,2
41,86000000000,MLB,c0_CIO_delta,1,0.203049,2.03049,3.85714,13.8,0.5,-88.3623,-5.59217,4.7471,1,0,0,0.203049,2.03049,3.85714,13.2,0.5,-88.3623,-5.59217,4.7471,1,0,0,45,2,45,2
42,88000000000,CCO,c1_TxPower_delta,2,0.203049,2.03049,3.85714,13.8,0.5,-88.3623,-5.59217,4.7471,1,0,0,0.203049,2.03049,3.85714,13.2,0.5,-88.3623,-5.59217,4.7471,1,0,0,45,3,45,2
43,90000000000,CCO,c0_TxPower_delta,2,0.203005,2.03005,3.85714,13.8915,0.408515,-88.3623,-6.04523,4.7471,1,0,0,0.293929,2.93929,4.71429,15.3085,0.591485,-87.3623,-5.18802,4.7471,1,0,0,45,3,46,2
44,92000000000,ES,c1_TxPower_delta,-1,0.203049,2.03049,3.85714,16,0.5,-87.3623,-5.59187,4.7471,1,0,0,0.203049,2.03049,3.85714,15.4,0.5,-87.3623,-5.59187,4.7471,1,0,0,46,3,46,2
45,94000000000,MLB,c0_CIO_delta,-1,0.294162,2.94162,4.71429,15.9083,0.591684,-87.3623,-5.18802,4.7471,1,0,0,0.202998,2.02998,3.85714,13.2917,0.408316,-88.3623,-6.04523,4.7471,1,0,0,46,3,45,2
46,96000000000,ES,c0_TxPower_delta,-1,0.294051,2.94051,4.71429,15.9084,0.591573,-87.3623,-5.18802,4.7471,1,0,0,0.203015,2.03015,3.85714,13.2916,0.408427,-88.3623,-6.04523,4.7471,1,0,0,46,2,45,2
47,98000000000,MLB,c1_CIO_delta,1,0.203049,2.03049,3.85714,13.8,0.5,-88.3623,-5.59217,4.7471,1,0,0,0.203049,2.03049,3.85714,13.2,0.5,-88.3623,-5.59217,4.7471,1,0,0,45,2,45,2
48,100000000000,CCO,c0_TxPower_delta,2,0.203049,2.03049,3.85714,13.8,0.5,-88.3623,-5.59217,4.7471,1,0,0,0.203049,2.03049,3.85714,13.2,0.5,-88.3623,-5.59217,4.7471,1,0,0,45,2,45,3
49,102000000000,CCO,c1_TxPower_delta,2,0.294051,2.94051,4.71429,15.9084,0.591573,-87.3623,-5.18802,4.7471,1,0,0,0.203015,2.03015,3.85714,13.2916,0.408427,-88.3623,-6.04523,4.7471,1,0,0,46,2,45,3
50,104000000000,ES,c0_TxPower_delta,-1,0.203049,2.03049,3.85714,16,0.5,-87.3623,-5.59187,4.7471,1,0,0,0.203049,2.03049,3.85714,15.4,0.5,-87.3623,-5.59187,4.7471,1,0,0,46,2,46,3
51,106000000000,MLB,c1_CIO_delta,-1,0.202921,2.02921,3.85714,13.8917,0.408346,-88.3623,-6.04523,4.7471,1,0,0,0.294014,2.94014,4.71429,15.3083,0.591654,-87.3623,-5.18802,4.7471,1,0,0,45,2,46,3
52,108000000000,ES,c1_TxPower_delta,-1,0.202965,2.02965,3.85714,13.8917,0.408337,-88.3623,-6.04523,4.7471,1,0,0,0.294087,2.94087,4.71429,15.3083,0.591663,-87.3623,-5.18802,4.7471,1,0,0,45,2,46,2
53,110000000000,MLB,c0_CIO_delta,1,0.203049,2.03049,3.85714,13.8,0.5,-88.3623,-5.59217,4.7471,1,0,0,0.203049,2.03049,3.85714,13.2,0.5,-88.3623,-5.59217,4.7471,1,0,0,45,2,45,2
54,112000000000,CCO,c1_TxPower_delta,2,0.203049,2.03049,3.85714,13.8,0.5,-88.3623,-5.59217,4.7471,1,0,0,0.203049,2.03049,3.85714,13.2,0.5,-88.3623,-5.59217,4.7471,1,0,0,45,3,45,2
55,114000000000,CCO,c0_TxPower_delta,2,0.202965,2.02965,3.85714,13.8916,0.408367,-88.3623,-6.04523,4.7471,1,0,0,0.294051,2.94051,4.71429,15.3084,0.591633,-87.3623,-5.18802,4.7471,1,0,0,45,3,46,2
56,116000000000,ES,c1_TxPower_delta,-1,0.203049,2.03049,3.85714,16,0.5,-87.3623,-5.59187,4.7471,1,0,0,0.203049,2.03049,3.85714,15.4,0.5,-87.3623,-5.59187,4.7471,1,0,0,46,3,46,2
57,118000000000,MLB,c0_CIO_delta,-1,0.294089,2.94089,4.71429,15.9084,0.591584,-87.3623,-5.18802,4.7471,1,0,0,0.203032,2.03032,3.85714,13.2916,0.408416,-88.3623,-6.04523,4.7471,1,0,0,46,3,45,2
58,120000000000,ES,c0_TxPower_delta,-1,0.293978,2.93978,4.71429,15.9084,0.591613,-87.3623,-5.18802,4.7471,1,0,0,0.202931,2.02931,3.85714,13.2916,0.408387,-88.3623,-6.04523,4.7471,1,0,0,46,2,45,2
59,122000000000,MLB,c1_CIO_delta,1,0.203049,2.03049,3.85714,13.8,0.5,-88.3623,-5.59217,4.7471,1,0,0,0.203049,2.03049,3.85714,13.2,0.5,-88.3623,-5.59217,4.7471,1,0,0,45,2,45,2
60,124000000000,CCO,c0_TxPower_delta,2,0.203049,2.03049,3.85714,13.8,0.5,-88.3623,-5.59217,4.7471,1,0,0,0.203049,2.03049,3.85714,13.2,0.5,-88.3623,-5.59217,4.7471,1,0,0,45,2,45,3
61,126000000000,CCO,c1_TxPower_delta,2,0.294064,2.94064,4.71429,15.9083,0.591656,-87.3623,-5.18802,4.7471,1,0,0,0.202955,2.02955,3.85714,13.2917,0.408344,-88.3623,-6.04523,4.7471,1,0,0,46,2,45,3
62,128000000000,ES,c0_TxPower_delta,-1,0.203049,2.03049,3.85714,16,0.5,-87.3623,-5.59187,4.7471,1,0,0,0.203049,2.03049,3.85714,15.4,0.5,-87.3623,-5.59187,4.7471,1,0,0,46,2,46,3
63,130000000000,MLB,c1_CIO_delta,-1,0.203015,2.03015,3.85714,13.8916,0.408376,-88.3623,-6.04523,4.7471,1,0,0,0.294113,2.94113,4.71429,15.3084,0.591624,-87.3623,-5.18802,4.7471,1,0,0,45,2,46,3
64,132000000000,ES,c1_TxPower_delta,-1,0.202955,2.02955,3.85714,13.8917,0.408304,-88.3623,-6.04523,4.7471,1,0,0,0.294113,2.94113,4.71429,15.3083,0.591696,-87.3623,-5.18802,4.7471,1,0,0,45,2,46,2
65,134000000000,MLB,c0_CIO_delta,1,0.203049,2.03049,3.85714,13.8,0.5,-88.3623,-5.59217,4.7471,1,0,0,0.203049,2.03049,3.85714,13.2,0.5,-88.3623,-5.59217,4.7471,1,0,0,45,2,45,2
66,136000000000,CCO,c1_TxPower_delta,2,0.203049,2.03049,3.85714,13.8,0.5,-88.3623,-5.59217,4.7471,1,0,0,0.203049,2.03049,3.85714,13.2,0.5,-88.3623,-5.59217,4.7471,1,0,0,45,3,45,2
67,138000000000,CCO,c0_TxPower_delta,2,0.202948,2.02948,3.85714,13.8916,0.408408,-88.3623,-6.04523,4.7471,1,0,0,0.293977,2.93977,4.71429,15.3084,0.591592,-87.3623,-5.18802,4.7471,1,0,0,45,3,46,2
68,140000000000,ES,c1_TxPower_delta,-1,0.203049,2.03049,3.85714,16,0.5,-87.3623,-5.59187,4.7471,1,0,0,0.203049,2.03049,3.85714,15.4,0.5,-87.3623,-5.59187,4.7471,1,0,0,46,3,46,2
69,142000000000,MLB,c0_CIO_delta,-1,0.294186,2.94186,4.71429,15.9082,0.5918,-87.3623,-5.18802,4.7471,1,0,0,0.202918,2.02918,3.85714,13.2918,0.4082,-88.3623,-6.04523,4.7471,1,0,0,46,3,45,2
70,144000000000,ES,c0_TxPower_delta,-1,0.294125,2.94125,4.71429,15.9083,0.591734,-87.3623,-5.18802,4.7471,1,0,0,0.202931,2.02931,3.85714,13.2917,0.408266,-88.3623,-6.04523,4.7471,1,0,0,46,2,45,2
71,146000000000,MLB,c1_CIO_delta,1,0.203049,2.03049,3.85714,13.8,0.5,-88.3623,-5.59217,4.7471,1,0,0,0.203049,2.03049,3.85714,13.2,0.5,-88.3623,-5.59217,4.7471,1,0,0,45,2,45,2
72,148000000000,CCO,c0_TxPower_delta,2,0.203049,2.03049,3.85714,13.8,0.5,-88.3623,-5.59217,4.7471,1,0,0,0.203049,2.03049,3.85714,13.2,0.5,-88.3623,-5.59217,4.7471,1,0,0,45,2,45,3
73,150000000000,CCO,c1_TxPower_delta,2,0.293941,2.93941,4.71429,15.9085,0.591543,-87.3623,-5.18802,4.7471,1,0,0,0.202965,2.02965,3.85714,13.2915,0.408457,-88.3623,-6.04523,4.7471,1,0,0,46,2,45,3
74,152000000000,ES,c0_TxPower_delta,-1,0.203049,2.03049,3.85714,16,0.5,-87.3623,-5.59187,4.7471,1,0,0,0.203049,2.03049,3.85714,15.4,0.5,-87.3623,-5.59187,4.7471,1,0,0,46,2,46,3
75,154000000000,MLB,c1_CIO_delta,-1,0.202911,2.02911,3.85714,13.8917,0.408253,-88.3623,-6.04523,4.7471,1,0,0,0.294112,2.94112,4.71429,15.3083,0.591747,-87.3623,-5.18802,4.7471,1,0,0,45,2,46,3
76,156000000000,ES,c1_TxPower_delta,-1,0.202998,2.02998,3.85714,13.8917,0.408346,-88.3623,-6.04523,4.7471,1,0,0,0.294125,2.94125,4.71429,15.3083,0.591654,-87.3623,-5.18802,4.7471,1,0,0,45,2,46,2
77,158000000000,MLB,c0_CIO_delta,1,0.203049,2.03049,3.85714,13.8,0.5,-88.3623,-5.59217,4.7471,1,0,0,0.203049,2.03049,3.85714,13.2,0.5,-88.3623,-5.59217,4.7471,1,0,0,45,2,45,2
78,160000000000,CCO,c1_TxPower_delta,2,0.203049,2.03049,3.85714,13.8,0.5,-88.3623,-5.59217,4.7471,1,0,0,0.203049,2.03049,3.85714,13.2,0.5,-88.3623,-5.59217,4.7471,1,0,0,45,3,45,2
79,162000000000,CCO,c0_TxPower_delta,2,0.203032,2.03032,3.85714,13.8916,0.408416,-88.3623,-6.04523,4.7471,1,0,0,0.294089,2.94089,4.71429,15.3084,0.591584,-87.3623,-5.18802,4.7471,1,0,0,45,3,46,2
80,164000000000,ES,c1_TxPower_delta,-1,0.203049,2.03049,3.85714,16,0.5,-87.3623,-5.59187,4.7471,1,0,0,0.203049,2.03049,3.85714,15.4,0.5,-87.3623,-5.59187,4.7471,1,0,0,46,3,46,2
81,166000000000,MLB,c0_CIO_delta,-1,0.294027,2.94027,4.71429,15.9084,0.591593,-87.3623,-5.18802,4.7471,1,0,0,0.202982,2.02982,3.85714,13.2916,0.408407,-88.3623,-6.04523,4.7471,1,0,0,46,3,45,2
82,168000000000,ES,c0_TxPower_delta,-1,0.294001,2.94001,4.71429,15.9085,0.591532,-87.3623,-5.18802,4.7471,1,0,0,0.203015,2.03015,3.85714,13.2915,0.408468,-88.3623,-6.04523,4.7471,1,0,0,46,2,45,2
83,170000000000,MLB,c1_CIO_delta,1,0.203049,2.03049,3.85714,13.8,0.5,-88.3623,-5.59217,4.7471,1,0,0,0.203049,2.03049,3.85714,13.2,0.5,-88.3623,-5.59217,4.7471,1,0,0,45,2,45,2
84,172000000000,CCO,c0_TxPower_delta,2,0.203049,2.03049,3.85714,13.8,0.5,-88.3623,-5.59217,4.7471,1,0,0,0.203049,2.03049,3.85714,13.2,0.5,-88.3623,-5.59217,4.7471,1,0,0,45,2,45,3
85,174000000000,CCO,c1_TxPower_delta,2,0.294064,2.94064,4.71429,15.9084,0.591636,-87.3623,-5.18802,4.7471,1,0,0,0.202972,2.02972,3.85714,13.2916,0.408364,-88.3623,-6.04523,4.7471,1,0,0,46,2,45,3
86,176000000000,ES,c0_TxPower_delta,-1,0.203049,2.03049,3.85714,16,0.5,-87.3623,-5.59187,4.7471,1,0,0,0.203049,2.03049,3.85714,15.4,0.5,-87.3623,-5.59187,4.7471,1,0,0,46,2,46,3
87,178000000000,MLB,c1_CIO_delta,-1,0.202982,2.02982,3.85714,13.8915,0.408459,-88.3623,-6.04523,4.7471,1,0,0,0.293964,2.93964,4.71429,15.3085,0.591541,-87.3623,-5.18802,4.7471,1,0,0,45,2,46,3
88,180000000000,ES,c1_TxPower_delta,-1,0.202972,2.02972,3.85714,13.8916,0.408365,-88.3623,-6.04523,4.7471,1,0,0,0.294063,2.94063,4.71429,15.3084,0.591635,-87.3623,-5.18802,4.7471,1,0,0,45,2,46,2
89,182000000000,MLB,c0_CIO_delta,1,0.203049,2.03049,3.85714,13.8,0.5,-88.3623,-5.59217,4.7471,1,0,0,0.203049,2.03049,3.85714,13.2,0.5,-88.3623,-5.59217,4.7471,1,0,0,45,2,45,2
90,184000000000,CCO,c1_TxPower_delta,2,0.203049,2.03049,3.85714,13.8,0.5,-88.3623,-5.59217,4.7471,1,0,0,0.203049,2.03049,3.85714,13.2,0.5,-88.3623,-5.59217,4.7471,1,0,0,45,3,45,2
91,186000000000,CCO,c0_TxPower_delta,2,0.203015,2.03015,3.85714,13.8916,0.408356,-88.3623,-6.04523,4.7471,1,0,0,0.294138,2.94138,4.71429,15.3084,0.591644,-87.3623,-5.18802,4.7471,1,0,0,45,3,46,2
92,188000000000,ES,c1_TxPower_delta,-1,0.203049,2.03049,3.85714,16,0.5,-87.3623,-5.59187,4.7471,1,0,0,0.203049,2.03049,3.85714,15.4,0.5,-87.3623,-5.59187,4.7471,1,0,0,46,3,46,2
93,190000000000,MLB,c0_CIO_delta,-1,0.294089,2.94089,4.71429,15.9083,0.591656,-87.3623,-5.18802,4.7471,1,0,0,0.202972,2.02972,3.85714,13.2917,0.408344,-88.3623,-6.04523,4.7471,1,0,0,46,3,45,2
94,192000000000,ES,c0_TxPower_delta,-1,0.294112,2.94112,4.71429,15.9083,0.591703,-87.3623,-5.18802,4.7471,1,0,0,0.202948,2.02948,3.85714,13.2917,0.408297,-88.3623,-6.04523,4.7471,1,0,0,46,2,45,2
95,194000000000,MLB,c1_CIO_delta,1,0.203049,2.03049,3.85714,13.8,0.5,-88.3623,-5.59217,4.7471,1,0,0,0.203049,2.03049,3.85714,13.2,0.5,-88.3623,-5.59217,4.7471,1,0,0,45,2,45,2
96,196000000000,CCO,c0_TxPower_delta,2,0.203049,2.03049,3.85714,13.8,0.5,-88.3623,-5.59217,4.7471,1,0,0,0.203049,2.03049,3.85714,13.2,0.5,-88.3623,-5.59217,4.7471,1,0,0,45,2,45,3
97,198000000000,CCO,c1_TxPower_delta,2,0.29404,2.9404,4.71429,15.9083,0.591684,-87.3623,-5.18802,4.7471,1,0,0,0.202914,2.02914,3.85714,13.2917,0.408316,-88.3623,-6.04523,4.7471,1,0,0,46,2,45,3
98,200000000000,ES,c0_TxPower_delta,-1,0.203049,2.03049,3.85714,16,0.5,-87.3623,-5.59187,4.7471,1,0,0,0.203049,2.03049,3.85714,15.4,0.5,-87.3623,-5.59187,4.7471,1,0,0,46,2,46,3
99,202000000000,MLB,c1_CIO_delta,-1,0.202931,2.02931,3.85714,13.8917,0.408288,-88.3623,-6.04523,4.7471,1,0,0,0.294099,2.94099,4.71429,15.3083,0.591712,-87.3623,-5.18802,4.7471,1,0,0,45,2,46,3
100,204000000000,ES,c1_TxPower_delta,-1,0.202988,2.02988,3.85714,13.8917,0.408264,-88.3623,-6.04523,4.7471,1,0,0,0.294211,2.94211,4.71429,15.3083,0.591736,-87.3623,-5.18802,4.7471,1,0,0,45,2,46,2
101,206000000000,MLB,c0_CIO_delta,1,0.203049,2.03049,3.85714,13.8,0.5,-88.3623,-5.59217,4.7471,1,0,0,0.203049,2.03049,3.85714,13.2,0.5,-88.3623,-5.59217,4.7471,1,0,0,45,2,45,2
102,208000000000,CCO,c1_TxPower_delta,2,0.203049,2.03049,3.85714,13.8,0.5,-88.3623,-5.59217,4.7471,1,0,0,0.203049,2.03049,3.85714,13.2,0.5,-88.3623,-5.59217,4.7471,1,0,0,45,3,45,2
103,210000000000,CCO,c0_TxPower_delta,2,0.202998,2.02998,3.85714,13.8917,0.408346,-88.3623,-6.04523,4.7471,1,0,0,0.294125,2.94125,4.71429,15.3083,0.591654,-87.3623,-5.18802,4.7471,1,0,0,45,3,46,2
104,212000000000,ES,c1_TxPower_delta,-1,0.203049,2.03049,3.85714,16,0.5,-87.3623,-5.59187,4.7471,1,0,0,0.203049,2.03049,3.85714,15.4,0.5,-87.3623,-5.59187,4.7471,1,0,0,46,3,46,2
105,214000000000,MLB,c0_CIO_delta,-1,0.293941,2.93941,4.71429,15.9084,0.591566,-87.3623,-5.18802,4.7471,1,0,0,0.202945,2.02945,3.85714,13.2916,0.408434,-88.3623,-6.04523,4.7471,1,0,0,46,3,45,2
106,216000000000,ES,c0_TxPower_delta,-1,0.294053,2.94053,4.71429,15.9084,0.591627,-87.3623,-5.18802,4.7471,1,0,0,0.202972,2.02972,3.85714,13.2916,0.408373,-88.3623,-6.04523,4.7471,1,0,0,46,2,45,2
